Source,Target,Weight
CRB,Cuiabá-MT,9
CRB,EC Vitória,10
CRB,Guarani,12
CRB,Ituano,10
CRB,Mirassol-SP,9
CRB,Santo André,9
CRB,Tombense,16
CS Sedan B,CS Sedan,26
CSA,ASA,9
CSA,Tombense,10
CSD Zacatepec,Águilas,9
Cabofriense,Cruzeiro,10
Cagliari,AS Roma,13
Cagliari,Atalanta BC,9
Cagliari,Bologna,11
Cagliari,Chievo Verona,10
Cagliari,Como,10
Cagliari,FC Empoli,11
Cagliari,Fiorentina,12
Cagliari,Hellas Verona,9
Cagliari,Inter,19
Cagliari,Juventus,10
Cagliari,Napoli,9
Cagliari,Olbia,18
Cagliari,SPAL,10
Cagliari,Sampdoria,9
Calahorra,SD Logroñés,11
Calcio Monza,Milan,13
Caldense,Osasco-SP,9
Caldiero Junior,Caldiero,9
Cannes,G. Bordeaux,9
Cannes B,Cannes,27
Caracas FC B,Caracas FC,14
Cardiff,Bolton,12
Cardiff,Newport County,9
Cardiff,Sheff Wed,9
Cardiff,Wigan,10
Career break,Des Moines,13
Career break,Graesrödderne,12
Career break,Medialiga,11
Carolina Dynamo,Wake Forest,18
Carolina Elite,Greenville,9
Carouge Youth,Etoile Carouge,11
Carpi,Atalanta BC,10
Carpi,Chievo Verona,11
Carpi,FC Empoli,9
Carpi,Fermana,19
Carpi,Napoli,10
Carrarese,Atalanta BC,10
Carrarese,Juventus,13
Casa Pia,Sporting CP,9
Casertana,Benevento,14
Catania,Ascoli,12
Catania,Catanzaro,14
Catania,Chievo Verona,13
Catania,Perugia,20
Catania,Salernitana,21
Catania,Sambenedettese,19
Catania,Triestina,11
Catanzaro,Catania,15
Catanzaro,Crotone,9
Catanzaro,Reggiana,9
Caudal Dep.,Real Avilés,9
Cavese Youth,Cavese,11
Caxias-RS,Criciúma EC,10
Caxias-RS,Grêmio,13
Caxias-RS,Internacional,11
Ceará B,Ceará SC,12
Ceará SC,América-RN,13
Ceará SC,Atlético-PR,10
Ceará SC,Avaí FC,12
Ceará SC,Botafogo,12
Ceará SC,CRB,10
Ceará SC,Corinthians,10
Ceará SC,Cruzeiro,19
Ceará SC,EC Bahia,12
Ceará SC,Fortaleza,10
Ceará SC,Goiás,9
Ceará SC,Internacional,11
Ceará SC,Juventude,9
Ceará SC,Mirassol-SP,11
Ceará SC,Palmeiras,9
Ceará SC,Santos,10
Ceará SC,Sport Recife,11
Ceilândia,Brasiliense-DF,11
Celaya,Querétaro FC,25
Celta Fortuna,Celta de Vigo,12
Celta Vigo B,Celta de Vigo,35
Celta de Vigo,Valencia,12
Celtic,Aberdeen FC,9
Celtic,Dundee FC,11
Celtic,Hibernian FC,18
Celtic,Motherwell FC,9
Celtic,Ross County,9
Celtic,Southampton,9
Celtic,St. Johnstone,9
Celtic,St. Mirren,10
Celtic B,Celtic,12
Cercle Brugge,KMSK Deinze,10
Cercle Brugge,Monaco,24
Cercle Brugge,Monaco B,10
Cerezo Osaka,Avispa Fukuoka,11
Cerezo Osaka,Kawasaki Front.,9
Cerezo Osaka,Monte. Yamagata,9
Cerezo Osaka,Oita Trinita,13
Cerezo Osaka,Sagan Tosu,14
Cerezo Osaka,Tokushima Vort.,9
Cerezo Osaka,Vissel Kobe,9
Cesena,Atalanta BC,24
Cesena,Bellaria IM,18
Cesena,Bologna,10
Cesena,Catania,9
Cesena,Chievo Verona,13
Cesena,Forlì,20
Cesena,Genoa,19
Cesena,Juventus,11
Cesena,Parma,19
Cesena,Pavia,14
Cesena,Ravenna,9
Cesena,SPAL,9
Cesena,Sampdoria,10
Cesena,San Marino,13
Cesena,Santarcangelo,11
Cesena,Sassuolo,15
Cesena,Torino,9
Cesena,Vicenza,11
Chalkidona,Atromitos,16
Chamois Niort,Dijon,9
Changchun Res.,CC Yatai,14
Chapecoense,Avaí FC,9
Chapecoense,Grêmio,10
Charlotte Ind.,CISC Academy,16
Charlotte Ind.,Colorado,11
Charlton,AFC Wimbledon,10
Charlton,Bromley,10
Charlton,Gillingham,15
Charlton,Leyton Orient,9
Charlton,Portsmouth,11
Charlton,QPR,10
Chaves,Moreirense ,10
Chaves,Pedras Salgadas,16
Chaves,Penafiel,10
Chelsea,AC Milan,16
Chelsea,Arsenal,11
Chelsea,Aston Villa,9
Chelsea,Atlético Madrid,10
Chelsea,Birmingham,9
Chelsea,Bournemouth,10
Chelsea,Crystal Palace,11
Chelsea,Fulham,9
Chelsea,Middlesbrough,11
Chelsea,R. Strasbourg,10
Chelsea,Reading,15
Chelsea,Swansea,9
Chelsea,Vitesse,20
Cheltenham,Bristol City,17
Chertanovo,KS Samara,12
Chesterfield,Notts County,10
Chiapas FC,Monarcas Morelia,9
Chiapas FC,Puebla FC,13
Chiapas FC,Querétaro FC,14
Chicago,Indy Eleven,9
Chicago,Roughnecks FC,9
Chicago,St. Louis FC,10
Chievo Verona,Bari,15
Chievo Verona,Brescia,9
Chievo Verona,Carpi,9
Chievo Verona,Catania,11
Chievo Verona,Cesena,11
Chievo Verona,Cremonese,15
Chievo Verona,Genoa,20
Chievo Verona,Hellas Verona,9
Chievo Verona,Inter,15
Chievo Verona,Lumezzane,17
Chievo Verona,Modena,23
Chievo Verona,Padova,17
Chievo Verona,Pescara,12
Chievo Verona,Piacenza,9
Chievo Verona,SPAL,10
Chievo Verona,Salernitana,9
Chievo Verona,Sampdoria,14
Chievo Verona,Triestina,10
Chievo Verona,Vicenza,11
Chions,Portogruaro,9
Chippenham,Swindon Town,12
Chivas,CD Cruz Azul,10
Chivas,León,13
Chivas,Monterrey,13
Chivas,Necaxa,14
Chivas,Pachuca,15
Chivas,Puebla FC,14
Chivas,Querétaro FC,21
Chivas,San Luis,9
Chivas,Santos Laguna,13
Chivas,Tiburones Rojos,10
Chivas,Toluca,11
Chivas,Zacatepec,10
Chlumec n/Cidl.,Hradec Kr. B,9
Chornomorets,Dynamo Kyiv,21
Chornomorets,Karpaty Lviv,9
Chornomorets,Shakhtar D.,17
Chornomorets-2,Chornomorets,11
Chrudim,Pardubice,9
Châteauroux B,LB Châteauroux,52
Cibalia,NK Vukovar 1991,9
Cittadella,Atalanta BC,12
Clachnacuddin,Inverness CT,10
Clermont B,Clermont Foot,30
Clermont Foot,A. Lustenau,13
Cleveland Int.,Akron Zips,12
Clitheroe,Accrington,9
Clodiense,Adriese 1906,9
Clodiense,Campodarsego,9
Clodiense,Treviso,10
Clodiense Youth,Clodiense,18
Club Brugge,KV Kortrijk,12
Club Brugge,KVC Westerlo,9
Club Brugge,OH Leuven,11
Club Brugge,Royal Antwerp,10
Club Brugge,Sint-Truiden,9
Club Brugge,Standard Liège,10
Club Brugge,Zulte Waregem,11
Club NXT,Club Brugge,21
Club Tijuana,América,21
Club Tijuana,Atlas,10
Club Tijuana,Dorados Sinaloa,32
Club Tijuana,Puebla FC,14
Club Tijuana,Querétaro FC,20
Club Tijuana,Toluca,12
Coimbra,Benfica,9
Coimbra,Corinthians,10
Coimbra,FC Porto,19
Coimbra,GD Tourizense,11
Coimbra,Leiria,9
Coimbra,SC Covilhã,10
Coimbra,Villa Nova,26
Colon,River Plate,15
Colorado,Charlotte Ind.,12
Colorado,Phoenix Rising,9
Colorado,Switchbacks FC,23
Colorado 2,Colorado,13
Columbus,Colorado,11
Como,Bari,9
Como,Cremonese,10
Como,Padova,10
Como,Sampdoria,13
Como Youth,Inter Youth,9
Concordia BS,FC Basel,11
Corinthians,Atlético-MG,16
Corinthians,Botafogo,10
Corinthians,Botafogo-SP,9
Corinthians,Bragantino,20
Corinthians,Ceará SC,20
Corinthians,Coritiba FC,9
Corinthians,Cruzeiro,13
Corinthians,EC Bahia,26
Corinthians,EC Vitória,10
Corinthians,Figueirense FC,10
Corinthians,Flamengo,11
Corinthians,Fluminense,10
Corinthians,Goiás,10
Corinthians,Grêmio,15
Corinthians,Internacional,12
Corinthians,Juventude,9
Corinthians,Náutico,10
Corinthians,Oeste,12
Corinthians,Ponte Preta,20
Corinthians,Portuguesa,11
Corinthians,Santos,10
Corinthians,Sport Recife,11
Corinthians,São Caetano,15
Corinthians,Vasco da Gama,13
Corinthians B,Corinthians,60
Corinthians B,Flamengo-SP,9
Corinthians-PR,Coritiba FC,14
Coritiba B,Coritiba FC,54
Coritiba FC,Atlético-MG,17
Coritiba FC,Avaí FC,15
Coritiba FC,Botafogo-SP,17
Coritiba FC,Corinthians-PR,10
Coritiba FC,Cruzeiro,17
Coritiba FC,EC Bahia,9
Coritiba FC,EC Vitória,18
Coritiba FC,Fluminense,9
Coritiba FC,Fortaleza,11
Coritiba FC,Goiás,9
Coritiba FC,Guarani,16
Coritiba FC,Internacional,16
Coritiba FC,Joinville-SC,12
Coritiba FC,Londrina-PR,17
Coritiba FC,Maringá,11
Coritiba FC,Mirassol-SP,12
Coritiba FC,Palmeiras,18
Coritiba FC,Paraná,12
Coritiba FC,Ponte Preta,12
Coritiba FC,Santos,17
Coritiba FC,São Paulo,9
Coritiba FC,Vasco da Gama,14
Cork Academy,Cork City,14
Corum FK,Igdir FK,13
Cosenza,Genoa,11
Cosenza,Reggina,9
Coventry,Portsmouth,9
Covilhã Y19,SC Covilhã,17
Cremonese,Atalanta BC,11
Cremonese,Chievo Verona,15
Cremonese,Inter,11
Cremonese,Parma,11
Cremonese,Reggiana,9
Crewe Alexandra,Burton Albion,10
Crewe Alexandra,Leek Town FC,10
Crewe Alexandra,Nantwich Town,15
Criciúma B,Criciúma EC,17
Criciúma EC,ABC FC,9
Criciúma EC,CRB,9
Criciúma EC,Chapecoense,11
Criciúma EC,Cruzeiro,17
Criciúma EC,Fluminense,11
Criciúma EC,Goiás,9
Criciúma EC,Internacional,21
Criciúma EC,Juventude,10
Criciúma EC,Tombense,16
Crossfire,Washington,11
Crotone,Catanzaro,11
Crotone,Genoa,10
Crotone,Napoli,11
Crotone,Parma,30
Crotone,Pro Vercelli,17
Crotone,Sassuolo,10
Crucero,Guaraní A. F.,11
Cruz Azul Hid.,CD Cruz Azul,20
Cruz Azul Hid.,Cruz Azul Jasso,12
Cruz Azul Jasso,Cruz Azul Hid.,38
Cruzeiro,América-MG,17
Cruzeiro,Athletico-PR,9
Cruzeiro,Atlético-GO,12
Cruzeiro,Atlético-PR,9
Cruzeiro,Avaí FC,15
Cruzeiro,Botafogo,19
Cruzeiro,Cabofriense,10
Cruzeiro,Ceará SC,15
Cruzeiro,Chapecoense,9
Cruzeiro,Corinthians,11
Cruzeiro,Coritiba FC,20
Cruzeiro,Criciúma EC,12
Cruzeiro,EC Bahia,18
Cruzeiro,EC Vitória,30
Cruzeiro,FC Porto,9
Cruzeiro,Flamengo,12
Cruzeiro,Fluminense,14
Cruzeiro,Goiás,12
Cruzeiro,Grêmio,20
Cruzeiro,Guarani,11
Cruzeiro,Internacional,12
Cruzeiro,Ipatinga FC,32
Cruzeiro,Juventude,12
Cruzeiro,Londrina-PR,9
Cruzeiro,Mirassol-SP,10
Cruzeiro,Nacional,10
Cruzeiro,Náutico,13
Cruzeiro,Palmeiras,24
Cruzeiro,Ponte Preta,14
Cruzeiro,Portuguesa,11
Cruzeiro,Santos,17
Cruzeiro,Sport Recife,13
Cruzeiro,São Paulo,19
Cruzeiro,Tombense,9
Cruzeiro,Vasco da Gama,14
Crystal Palace,Blackpool,9
Crystal Palace,Chelsea,9
Crystal Palace,Forest,9
Crystal Palace,Ipswich,9
Csepel FC,Tatabánya,9
Csákvár,Puskás AFC,32
Cuiseaux B,Louh.-Cuiseaux,17
Cuneo,Bra,9
Cuneo,Savona,10
Cuneo Youth,Cuneo,12
Cádiz B,At. Sanluqueño,10
Cádiz CF,Albacete,9
Cádiz CF,Granada CF,20
Cádiz CF B,Cádiz CF,16
Córdoba CF B,Córdoba CF,32
D. Zagreb Yth.,NK Zagreb Yth.,11
DAC 1912 FC,ETO FC Győr ,9
DL Shide Res.,DL Shide,10
DL Shide Res.,Dalian Shide,12
DYuSSh Lada ,Lada Togliatti,9
DYuSSh Saratov,Sokol Saratov,13
Daejeon Citizen,Suwon Bluewings,9
Dag & Red FC,Barnet,9
Dag & Red FC,Bishop's St.,9
Dag & Red FC,Boreham Wood,10
Dag & Red FC,Ebbsfleet,9
Dag & Red FC,Gillingham,9
Dag & Red FC,Grays Athletic,12
Dag & Red FC,Peterborough,9
Dag & Red FC,Thurrock,9
Dallas,North Texas SC,29
Dallas,Toronto,10
Dallas Academy,Dallas,20
Dallas Academy,North Texas SC,47
Danubio B,Danubio FC,11
De Graafschap,Feyenoord,9
De Graafschap,Go Ahead Eagles,9
Debrecen,Debreceni EAC,12
Debrecen,Diósgyőr,13
Debrecen,Kecskeméti TE,11
Debrecen,Nyíregyháza,23
Defensa,Godoy Cruz,17
Defensa,Independiente,12
Defensa,Platense,12
Defensa,Racing Club,10
Defensa,River Plate,9
Defensor SC,River Plate,9
Degerfors,AIK,9
Delfines,Querétaro FC,15
Delémont Jug,SR Delémont,12
Denizli Belediye,Denizlispor,13
Denizlispor,Antalyaspor,9
Denizlispor,Denizli Belediye,14
Denizlispor,Kayserispor,9
Denizlispor,Konyaspor,11
Denizlispor,Manisaspor,14
Dep. Aragón,Real Zaragoza,25
Dep. La Coruña,Atlético Madrid,10
Dep. La Coruña,Benfica,9
Dep. La Coruña,Racing,10
Dep. Riestra,Almirante Brown,19
Depor Fabril,Dep. La Coruña,17
Deportivo B,Dep. La Coruña,24
Derby,Barnsley,15
Derby,Bristol City,12
Derby,Burton Albion,9
Derby,Crystal Palace,9
Derby,Leicester,10
Derby,Millwall,12
Derby,Notts County,12
Derby,Sheff Wed,13
Derby,Stoke City,10
Derby,Walsall,9
Desp. Brasil,Estoril,21
Desp. Brasil,Fluminense,11
Desp. Brasil,Ituano,14
Desp. Brasil,Palmeiras,17
Desp. Brasil,São Bento (SP),9
Desportivo Aves,Boavista,14
Dijon FCO B,Dijon,16
Dinamo Academy,Dinamo Tbilisi,31
Dinamo Moscow,Anzhi,13
Dinamo Moscow,Rostov,9
Dinamo Tbilisi,FC Locomotive,9
Dinamo Zagreb,HNK Gorica,10
Dinamo Zagreb,HNK Rijeka,19
Dinamo Zagreb,HNK Sibenik,9
Dinamo Zagreb,Inter Zapresic,21
Dinamo Zagreb,NK Lokomotiva,83
Dinamo Zagreb,Zrinjski Mostar,15
Diyarbakirspor,C. Rizespor,10
Diyarbakirspor,Mardinspor,9
Diyarbekir Spor,Tuzlaspor,30
Diósdi TC,SZTK,9
Diósgyőr,BFC Siófok,9
Diósgyőr,Debrecen,12
Diósgyőr,ETO FC Győr ,10
Diósgyőr,Honvéd,10
Diósgyőr,Kazincbarcika,15
Diósgyőr,Mezőkövesd,20
Diósgyőr,Nyíregyháza,10
Diósgyőr,Zalaegerszeg,9
Diósgyőr,Újpest FC,9
Dnipro,Arsenal Kyiv,22
Dnipro,Dynamo Kyiv,10
Dnipro,Karpaty Lviv,9
Dnipro,Kryvbas,55
Dnipro,Volyn Lutsk,11
Dolcan Zabki,Legia Warszawa,9
Domazlice,Vikt. Plzen B,10
Doncaster,Oldham Athletic,10
Dorados Sinaloa,Club Tijuana,36
Dorados Sinaloa,León,10
Dorados Sinaloa,Monterrey,9
Dorados Sinaloa,Querétaro FC,15
Dorados Sinaloa,Tiburones Rojos,10
Dorchester,Exeter City,13
Drnovice,Marila Pribram,10
Dubnica,Banska Bystrica,11
Dubnica,MSK Zilina,12
Dubnica,Spartak Myjava,12
Dukla Prague,Bohemians 1905,12
Dukla Prague B,Dukla Prague,20
Dunajska Streda,ETO FC Győr ,18
Dunajska Streda,STK Samorin,18
Dunajska Streda,Slo. Bratislava,12
Dundee FC,Arbroath,9
Dundee FC,Brechin City,9
Dundee FC,Celtic,13
Dundee FC,Dunfermline A.,10
Dundee FC,Falkirk,11
Dundee FC,Forfar Athletic,11
Dundee FC,Hibernian FC,11
Dundee FC,Montrose,10
Dundee FC,Peterhead,9
Dundee FC,Raith Rovers,11
Dundee FC,Rangers,10
Dunfermline A.,Dundee FC,17
Dunfermline A.,Inverness CT,10
Dunfermline A.,Morton,9
Dunfermline A.,Raith Rovers,12
Dunfermline A.,Ross County,10
Dunfermline A.,St. Mirren,9
Duque de Caxias,Boavista,16
Duque de Caxias,Fluminense,9
Dynamo 2 ,Dynamo Moscow,9
Dynamo Dresden,1.FC Nuremberg,11
Dynamo Dresden,Hallescher FC,9
Dynamo Kyiv,Arsenal Kyiv,14
Dynamo Kyiv,Chornomorets,20
Dynamo Kyiv,Dnipro,22
Dynamo Kyiv,FC Oleksandriya,11
Dynamo Kyiv,Vorskla Poltava,11
Dynamo Kyiv,Zorya Lugansk,22
Dynamo-2 Kyiv,Dynamo Kyiv,25
Dynamo-2 Kyiv,Goverla,12
Dynamo-2 Kyiv,Zakarpattya,14
Dynamo-3 Kyiv,Dynamo-2 Kyiv,27
E. Frankfurt,1.FC K'lautern,12
E. Frankfurt,FC Schalke 04,10
EA Guingamp B,Guingamp,59
EC Bahia,Atlético-GO,10
EC Bahia,Atlético-MG,11
EC Bahia,Ceará SC,11
EC Bahia,Corinthians,22
EC Bahia,Cruzeiro,16
EC Bahia,Flamengo,13
EC Bahia,Fluminense,12
EC Bahia,Fortaleza,9
EC Bahia,Grêmio,13
EC Bahia,Internacional,16
EC Bahia,Palmeiras,12
EC Bahia,Tombense,9
EC Bahia,Vasco da Gama,11
EC Vitória,ABC FC,14
EC Vitória,Atlético-GO,10
EC Vitória,Atlético-MG,12
EC Vitória,Botafogo,9
EC Vitória,CRB,11
EC Vitória,Chapecoense,9
EC Vitória,Confiança,9
EC Vitória,Coritiba FC,15
EC Vitória,Cruzeiro,31
EC Vitória,Figueirense FC,9
EC Vitória,Flamengo,10
EC Vitória,Internacional,12
EC Vitória,Ituano,12
EC Vitória,Jacuipense-BA,11
EC Vitória,Joinville-SC,10
EC Vitória,Mirassol-SP,12
EC Vitória,Náutico,10
EC Vitória,Palmeiras,22
EC Vitória,Paraná,9
EC Vitória,Ponte Preta,12
EC Vitória,Portuguesa,9
EC Vitória,Santa Cruz-PE,10
EC Vitória,São Paulo,10
ESTAC Troyes B,Troyes,56
ETO FC Győr ,BFC Siófok,12
ETO FC Győr ,DAC 1912 FC,12
ETO FC Győr ,Diósgyőr,9
ETO FC Győr ,Dunajska Streda,15
ETO FC Győr ,Gyirmót FC,11
ETO FC Győr ,Haladás,10
ETO FC Győr ,Honvéd,10
ETO FC Győr ,Kaposvár,9
ETO FC Győr ,Nyíregyháza,10
ETO FC Győr ,Paksi FC,11
ETO FC Győr ,Zalaegerszeg,9
East Fife,Heart of Midl.,9
El Paso Youth,El Paso,11
Elazigspor ,Ankaragücü,9
Elazigspor ,Dardanelspor,9
Elazigspor ,Göztepe,9
Elche CF,CD Alcoyano,9
Elche CF,Córdoba CF,12
Elche CF,RCD Mallorca,11
Elche Ilicitano,Elche CF,26
Elfsborg,GAIS,12
Elgin City,Inverness CT,12
Elgin City,Ross County,12
Envigado,Atl. Nacional,9
Epinal B,SAS Epinal,10
Erciyesspor,Kayserispor,9
Ergotelis,Olympiacos,15
Erzurumspor,Diyarbakirspor,10
Esbjerg fB,FC Fredericia,9
Esbjerg fB,Silkeborg IF,10
Espanyol,Alavés,10
Espanyol,Real Madrid,11
Espanyol,Villarreal,9
Espanyol Youth,Barça Youth,17
Estoril,Desp. Brasil,13
Estoril,Sporting CP,16
Estudiantes,Dep. Riestra,9
Estudiantes LP,Aldosivi,10
Estudiantes LP,Boca Juniors,16
Estudiantes LP,Defensa,11
Estudiantes LP,Newell's,10
Estudiantes LP,Quilmes,11
Estudiantes LP,River Plate,9
Eto'o Academy,Barça Youth,10
Etoile Carouge,Servette FC,28
Etoile Carouge,Stade Nyonnais,11
Evergrande FS,GuaZ FC,11
Everton,Blackpool,9
Everton,Man City,10
Everton,Sunderland,11
Excelsior,Feyenoord,49
Exeter City,Bath City,12
Exeter City,Dorchester,12
Exeter City,Tiverton,20
Exeter City,Torquay,11
Exeter City,Truro City FC,11
Exeter City,Weston-super-M.,14
Extremadura B,Extremadura,10
Eyüpspor,Alibeyköy,12
Eyüpspor,Pendikspor ,25
FBK Kaunas,Heart of Midl.,21
FC Aarau,BSC Young Boys,9
FC Aarau,FC Baden 1897,27
FC Aarau,FC Basel,12
FC Aarau,FC Luzern,9
FC Aarau,FC Wil 1900,9
FC Aarau,FC Winterthur,9
FC Aarau,FC Wohlen,19
FC Aarau,Grasshoppers,15
FC Aarau,Neuchâtel Xamax,9
FC Annecy B,FC Annecy,16
FC Ascona,FC Locarno,11
FC Augsburg,F. Düsseldorf,9
FC Augsburg,VfL Wolfsburg,10
FC Baden 1897,FC Aarau,21
FC Baden 1897,FC Wohlen,12
FC Baden 1897,SC YF Juventus,12
FC Baden Yth.,FC Baden 1897,17
FC Basel,Concordia BS,9
FC Basel,FC Aarau,12
FC Basel,FC Vaduz,10
FC Basel,FC Winterthur,15
FC Basel,Grasshoppers,10
FC Bassecourt,SR Delémont,12
FC Baulmes,Yverdon Sport,9
FC Biel-Bienne,BSC Young Boys,11
FC Biel-Bienne,FC Breitenrain,11
FC Biel-Bienne,FC Grenchen,9
FC Biel-Bienne,Neuchâtel Xamax,13
FC Cartagena,CD Leganés,10
FC Chiasso,AC Bellinzona,27
FC Chiasso,FC Lugano,31
FC Chiasso,FC Mendrisio,13
FC Chiasso,FC Sion,11
FC Clivense SM,Chievo Verona,9
FC Dordrecht,ADO Den Haag,12
FC Dordrecht,Excelsior,10
FC Dordrecht,Feyenoord,14
FC Dornbirn,A. Lustenau,10
FC Emmen,FC Groningen,11
FC Empoli,AC Milan,13
FC Empoli,Brescia,10
FC Empoli,Cagliari,11
FC Empoli,Carrarese,10
FC Empoli,Chievo Verona,9
FC Empoli,Fiorentina,19
FC Empoli,Gavorrano,9
FC Empoli,Inter,11
FC Empoli,Juventus,21
FC Empoli,Lucchese,9
FC Empoli,Napoli,19
FC Empoli,Parma,11
FC Empoli,Pistoiese,11
FC Empoli,Sampdoria,20
FC Empoli,Sassuolo,12
FC Empoli,Spezia Calcio,9
FC Empoli,Torino,14
FC Fredericia,FC Midtjylland,22
FC Grenchen,FC Biel-Bienne,11
FC Groningen,Ajax,10
FC Groningen,BV Veendam,10
FC Groningen,FC Emmen,14
FC Groningen,SC Cambuur,10
FC Gueugnon B,FC Gueugnon,19
FC Ingolstadt,Heidenheim,9
FC Juárez,El Paso,11
FC Liefering,LASK,10
FC Liefering,RB Salzburg,65
FC Locarno,AC Bellinzona,14
FC Locarno,FC Ascona,12
FC Locarno,FC Chiasso,12
FC Locarno,FC Lugano,12
FC Lorient,AC Ajaccio,12
FC Lorient,Marseille,13
FC Lorient,Saint-Étienne,10
FC Lugano,AC Bellinzona,20
FC Lugano,FC Chiasso,35
FC Lugano,FC Schaffhausen,10
FC Lugano,FC Sion,10
FC Lugano,FC Wil 1900,11
FC Lugano,FC Zürich,11
FC Lugano,Genoa,15
FC Lugano,Grasshoppers,15
FC Luzern,BSC Young Boys,12
FC Luzern,FC Aarau,12
FC Luzern,FC Lugano,9
FC Luzern,FC Winterthur,9
FC Luzern,FC Wohlen,12
FC Luzern,Grasshoppers,11
FC Luzern,SC Kriens,22
FC Mariupol,Shakhtar D.,22
FC Mendrisio,FC Chiasso,9
FC Metz,LB Châteauroux,9
FC Metz,Monaco,9
FC Metz,R. Strasbourg,9
FC Metz,RFC Seraing,20
FC Metz,Troyes,11
FC Metz B,FC Metz,77
FC Metz B,RFC Seraing,12
FC Midtjylland,AC Horsens,18
FC Midtjylland,FC Fredericia,22
FC Midtjylland,Mafra,11
FC Midtjylland,Skive IK,11
FC Midtjylland,SönderjyskE,9
FC Midtjylland,Vejle BK,12
FC Midtjylland,Viborg FF,9
FC Montréal,Montreal,10
FC Moutier,SR Delémont,12
FC Nantes B,FC Nantes,91
FC Oleksandriya,Shakhtar D.,9
FC Olten,FC Wangen b. O.,9
FC Paradiso,AC Taverne,11
FC Paradiso,Collina d'Oro,11
FC Porto,Atlético Madrid,9
FC Porto,CF Estrela ,13
FC Porto,Coimbra,19
FC Porto,Cruzeiro,9
FC Porto,FC Porto B,15
FC Porto,Gil Vicente,10
FC Porto,Olhanense,9
FC Porto,Penafiel,9
FC Porto,Portimonense,20
FC Porto,Rio Ave,14
FC Porto,SC Braga,25
FC Porto,Vit. Guimarães,24
FC Porto,Vitória Setúbal,25
FC Porto B,FC Porto,46
FC Rouen B,FC Rouen 1899,12
FC Schaffhausen,AC Bellinzona,12
FC Schaffhausen,FC Winterthur,13
FC Schaffhausen,FC Zürich,9
FC Schaffhausen,Grasshoppers,20
FC Schalke 04,1.FSV Mainz 05,9
FC Schalke 04,E. Frankfurt,9
FC Schötz,SC Kriens,10
FC Schötz,SC Zofingen,9
FC Seoul,Gwangju Sangmu,9
FC Seoul,Gyeongnam FC,9
FC Seoul,Sangju Sangmu,10
FC Sion,AC Bellinzona,13
FC Sion,FC Aarau,10
FC Sion,FC Basel,11
FC Sion,FC Chiasso,9
FC Sion,FC Lugano,9
FC Sion,Lausanne-Sport,12
FC Sion,Servette FC,16
FC Sion,Yverdon Sport,17
FC Sochaux,LB Châteauroux,9
FC Sochaux B,FC Sochaux,85
FC St. Gallen,FC Aarau,9
FC St. Gallen,FC Vaduz,16
FC St. Gallen,FC Wil 1900,12
FC St. Gallen,FC Winterthur,9
FC St. Gallen,Grasshoppers,10
FC Thun,BSC Young Boys,22
FC Thun,FC Luzern,9
FC Thun,FC Winterthur,11
FC Tokyo,Cerezo Osaka,9
FC Tokyo,Monte. Yamagata,9
FC Tucson,Phoenix Rising,10
FC Vaduz,FC Winterthur,9
FC ViOn,MSK Zilina,10
FC ViOn,Spartak Trnava,9
FC Villarreal C,Villarreal CF B,94
FC Wangen b. O.,FC Olten,9
FC Wil 1900,FC Aarau,11
FC Wil 1900,FC Basel,12
FC Wil 1900,FC Lugano,11
FC Wil 1900,FC Schaffhausen,9
FC Wil 1900,FC St. Gallen,19
FC Wil 1900,FC Wohlen,9
FC Wil 1900,FC Zürich,17
FC Winterthur,FC Aarau,9
FC Winterthur,FC Basel,11
FC Winterthur,FC Schaffhausen,21
FC Winterthur,FC Thun,10
FC Winterthur,FC Vaduz,11
FC Winterthur,FC Zürich,9
FC Winterthur,Grasshoppers,10
FC Winterthur,SC YF Juventus,12
FC Wohlen,FC Aarau,14
FC Wohlen,FC Baden 1897,15
FC Wohlen,FC Luzern,10
FC Wohlen,FC Muri,9
FC Wohlen,Grasshoppers,10
FC Wohlen,SC Kriens,11
FC Wohlen,SC YF Juventus,11
FC Wohlen Youth,FC Wohlen,12
FC Zürich,AC Bellinzona,9
FC Zürich,FC Aarau,9
FC Zürich,FC Lugano,10
FC Zürich,FC Schaffhausen,12
FC Zürich,FC Wil 1900,16
FC Zürich,FC Winterthur,10
FCC Basel Yth.,Concordia BS,9
FK Novgorod,Volga NN,9
FK Sochi,Zenit S-Pb,14
Fafe,Moreirense ,9
Fagiano Okayama,F. Okayama NEXT,9
Fagiano Okayama,Matsumoto Yama.,11
Falkirk,Dundee FC,9
Falkirk,St. Johnstone,11
Falkirk,Stirling Albion,11
Famalicão S15,Famalicão S17,27
Famalicão S17,Famalicão Y19,31
Famalicão Y19,Famalicão,12
Famalicão Yo,Famalicão S15,14
Fano Giovanili,AJ Fano,21
Farense Youth,SC Farense Y15,18
Feirense,Boavista,12
Feirense,Chaves,9
Feirense CJ,Feirense Sub-15,31
Feirense Sub-15,Feirense Sub-17,33
Felgueiras Y15,Felgueiras Y17,9
Fenerbahce,Antalyaspor,10
Fenerbahce,Basaksehir,11
Fenerbahce,Karagümrük,17
Fenerbahce,Kayserispor,9
Fenerbahce,Konyaspor,9
Fenerbahce,Sivasspor,9
Ferencváros,BFC Siófok,10
Ferencváros,Debrecen,9
Ferencváros,Soroksár,32
Fermana,Carpi,16
