from_team_name,to_team_name,weight,transfer_fee
Al-Kharaitiyat,Al-Sadd,9,0
Al-Khor SC,Al-Rayyan,11,0
Al-Markhiya SC,Al-Khor SC,9,0
Al-Rayyan,Al-Gharafa,11,0
Al-Rayyan,Al-Sadd,13,0
Al-Rayyan,Al-Sailiya SC,15,0
Al-Rayyan,Al-Shahania SC,11,0
Al-Rayyan,Qatar SC,12,0
Al-Rayyan SC Res,Al-Rayyan,12,0
Al-Sadd,Al-Ahli SC,9,0
Al-Sadd,Al-Arabi SC,16,0
Al-Sadd,Al-Kharaitiyat,13,0
Al-Sadd,Al-Rayyan,17,0
Al-Sadd Reserve,Al-Sadd,19,0
Al-Sailiya SC,Al-Arabi SC,9,0
Al-Sailiya SC,Al-Kharaitiyat,9,0
Al-Sailiya SC,Al-Rayyan,11,0
Al-Shahania SC,Al-Rayyan,9,0
Al-Wakrah SC,Al-Duhail SC,14,0
Alania,Alania-D Vladik.,11,0
Alavés,Espanyol,11,0
Alavés,Real Betis,9,2500000
Alavés,Real Sociedad,9,6500000
Alavés B,Alavés,22,0
Alavés B,NK Istra,10,0
Albacete,Atlético Madrid,9,4500000
Albacete,Córdoba CF,11,400000
Albacete,Hércules CF,10,0
Albirex Niigata,Kashiwa Reysol,11,0
Albirex Niigata,Shonan Bellmare,9,0
Alessandria,Atalanta BC,11,0
Alessandria,Pro Vercelli,10,0
Algeciras B,Algeciras CF,13,0
Almagro,San Lorenzo,9,1000000
Almere City FC ,Ajax Youth ,14,0
Almirante Brown,Dep. Riestra,19,0
Altay SK,Besiktas,9,1000000
Altay SK,Samsunspor,11,0
Altay SK Yth,Altay SK,13,0
Altinordu,Efeler 09 SFK,9,0
Altinordu,Nigde Anadolu,45,0
Alverca,Benfica,16,5000000
Alverca,Santa Clara,13,200000
Amateure OÖ,LASK,9,0
Amica Wronki,Lech Poznan,16,25000
Amiens SC B,Amiens SC,53,0
América,Atlante,10,0
América,Club Tijuana,13,1750000
América,León,12,3500000
América,Monterrey,14,0
América,Necaxa,33,0
América,Puebla FC,21,0
América,Querétaro FC,9,0
América,San Luis,18,0
América,Santos Laguna,17,6550000
América,Tiburones Rojos,12,0
América Coapa,América,10,0
América Coapa,CSD Zacatepec,9,0
América Coapa,San Luis,11,0
América-MG,Atlético-MG,17,3170000
América-MG,Cruzeiro,26,160000
América-MG,Fluminense,10,2380000
América-MG,Goiás,10,0
América-MG,Mirassol-SP,9,0
América-MG,Tombense,27,0
América-RN,Ceará SC,12,0
América-RN,Globo,9,0
América-RN,Tombense,11,140000
Ancona,Ascoli,9,0
Ancona,Napoli,10,950000
Ancona,Taranto,10,0
Anderlecht Yth.,KRC Genk Youth,11,0
Andria,Taranto,10,0
Angers SCO B,Angers SCO,51,0
Ankara Demir,Ankaragücü,16,0
Ankara Demir,Kardemir Karabük,13,0
Ankaragücü,Altay SK,12,0
Ankaragücü,Ankara Demir,16,0
Ankaragücü,Ankaraspor,17,0
Ankaragücü,Antalyaspor,9,0
Ankaragücü,Denizlispor,10,150000
Ankaragücü,Diyarbakirspor,10,0
Ankaragücü,Eskisehirspor,10,0
Ankaragücü,Genclerbirligi,10,0
Ankaragücü,Göztepe,9,35000
Ankaragücü,Kardemir Karabük,14,700000
Ankaragücü,Kayserispor,9,0
Ankaragücü,Sivasspor,13,950000
Ankaragücü,Trabzonspor,9,3550000
Ankaragücü,Türk Telekom,9,0
Ankaraspor,Ankaragücü,31,0
Ankaraspor,Keciörengücü,9,0
Antalyaspor,Alanyaspor,13,0
Antalyaspor,Bodrum FK,21,675000
Antalyaspor,Elazigspor ,10,0
Antalyaspor,Genclerbirligi,11,0
Antalyaspor,Konyaspor,10,486000
Anzhi,Career break,14,0
Anzhi,Dinamo Moscow,13,86000000
Anzhi,KS Samara,13,400000
Anápolis,Anápolis,11,0
Anápolis,Vila Nova FC,9,0
Anápolis,XV Piracicaba,9,0
Aparecidense,Goiás,24,0
Aparecidense,Goiás B,10,0
Aparecidense,Vila Nova FC,10,0
Arenas Club,Bilbao Athletic,9,0
Arenas Club,Gernika,11,0
Argentinos Jrs.,Godoy Cruz,11,0
Argentinos Jrs.,Independiente,13,8250000
Argentinos Jrs.,River Plate,15,6480000
Argentinos Jrs.,San Lorenzo,12,2120000
Aris Saloniki,Olympiacos,9,7800000
Arka Gdynia,KKS Kalisz,10,0
Arka Gdynia,Legia Warszawa,9,0
Arka Gdynia,Pogon Szczecin,9,50000
Arm. Bielefeld,1860 Munich,9,2250000
Arm. Bielefeld,E. Braunschweig,10,555000
Arm. Bielefeld,VfL Osnabrück,9,75000
Arouca,Boavista,12,0
Arsenal,Barcelona,11,142300000
Arsenal,Birmingham,12,9650000
Arsenal,Crystal Palace,10,32850000
Arsenal,Forest,9,15865000
Arsenal,Fulham,10,36900000
Arsenal,Watford,9,625000
Arsenal,West Ham,13,13900000
Arsenal Kharkiv,FK Kharkiv,9,0
Arsenal Kyiv,Dnipro,17,0
Arsenal Kyiv,Dynamo Kyiv,12,1780000
Arsenal Sarandí,Defensa,10,0
Arsenal Sarandí,Independiente,10,3610000
Arsenal Sarandí,Lanús,15,2095000
Arsenal-2 Tula,Arsenal Tula,10,0
Ascoli,AJ Fano,9,0
Ascoli,Atalanta BC,12,300000
Ascoli,Bari,10,0
Ascoli,Catania,9,3200500
Ascoli,Cremonese,9,2000000
Ascoli,Juventus,12,13500000
Ascoli,Modena,10,2500000
Ascoli,Padova,11,1350000
Ascoli,Parma,17,0
Ascoli,Salernitana,9,200000
Ascoli,Sampdoria,9,1960000
Ascoli,Sassuolo,9,1412000
Ascoli,Torino,13,3860000
Asteras Tripoli,Panarkadikos,11,0
Aston Villa,Forest,13,4500000
Aston Villa,Middlesbrough,12,44200000
Aston Villa,Newcastle,9,70900000
Aston Villa,Preston,10,65000
Aston Villa,Stoke City,13,0
Aston Villa Res.,Aston Villa,11,0
Atalanta BC,AC Milan,13,61500000
Atalanta BC,AS Roma,12,81200000
Atalanta BC,Alessandria,11,0
Atalanta BC,Ascoli,16,775000
Atalanta BC,Avellino,9,0
Atalanta BC,Bari,10,500000
Atalanta BC,Bologna,19,28740000
Atalanta BC,Cagliari,14,32200000
Atalanta BC,Carpi,9,0
Atalanta BC,Carrarese,10,0
Atalanta BC,Cesena,25,6350000
Atalanta BC,Cremonese,12,3000000
Atalanta BC,Frosinone,9,0
Atalanta BC,Genoa,18,24000100
Atalanta BC,Hellas Verona,13,1300000
Atalanta BC,Inter,10,88300000
Atalanta BC,Juve Stabia ,10,0
Atalanta BC,Juventus,19,155270000
Atalanta BC,Lecco,9,0
Atalanta BC,Padova,13,150000
Atalanta BC,Parma,11,12650000
Atalanta BC,Perugia,9,0
Atalanta BC,Pescara,12,1500000
Atalanta BC,Pistoiese,9,0
Atalanta BC,Pro Vercelli,9,0
Atalanta BC,Reggina,10,100000
Atalanta BC,SPAL,22,26800000
Atalanta BC,Sampdoria,10,9460000
Atalanta BC,Spezia Calcio,17,7500000
Atalanta BC,Ternana,12,0
Atalanta BC,Torino,11,20050000
Atalanta BC,Vicenza,9,900000
Athletic,CD Leganés,13,0
Athletic,CD Mirandés,15,0
Athletic,CD Numancia,16,0
Athletic,SD Eibar,13,0
Athletico-PR,Cruzeiro,11,4000000
Atl Castegnato,Ospitaletto,9,0
Atl. Albacete,Albacete,23,0
Atl. Levante,Levante,22,0
Atl. Madrid C,Atl. Madrileño,40,0
Atl. Madrileño,Atlético Madrid,48,0
Atl. Madrileño,Córdoba CF,9,600000
Atl. Rafaela,Racing Club,9,1090000
Atl. Rafaela,Sp. Belgrano,10,0
Atlanta,Almirante Brown,10,0
Atlanta,Lanús,11,0
Atlante,América,13,6500000
Atlante,Jaguares,10,0
Atlante,León,12,0
Atlante,Monarcas Morelia,9,3000000
Atlante,Monterrey,10,0
Atlante,Puebla FC,15,0
Atlante,Querétaro FC,16,0
Atlante,San Luis,9,300000
Atlas,CD Cruz Azul,13,9780000
Atlas,Club Tijuana,10,0
Atlas,Correcaminos,9,0
Atlas,Jaguares,11,0
Atlas,Leones Negros,9,0
Atlas,León,13,0
Atlas,Monarcas Morelia,17,0
Atlas,Monterrey,9,5500000
Atlas,Necaxa,15,3500000
Atlas,Pachuca,11,200000
Atlas,Puebla FC,17,0
Atlas,Santos Laguna,28,2800000
Atlas,Tiburones Rojos,9,1300000
Atlas,Toluca,13,0
Atlético Madrid,Dep. La Coruña,12,15000000
Atlético Madrid,Getafe,13,3000000
Atlético Madrid,RCD Mallorca,9,800000
Atlético Madrid,Rayo Vallecano,11,5000000
Atlético Madrid,Real Zaragoza,15,6400000
Atlético Madrid,Valencia,9,26825000
Atlético-GO,Atlético-MG,10,0
Atlético-GO,Atlético-PR,14,435000
Atlético-GO,Botafogo,11,640000
Atlético-GO,CRB,10,0
Atlético-GO,Ceará SC,9,200000
Atlético-GO,Cruzeiro,9,875000
Atlético-GO,Fluminense,11,0
Atlético-GO,Fortaleza,11,650000
Atlético-GO,Internacional,15,900000
Atlético-GO,Mirassol-SP,13,0
Atlético-GO,Tombense,11,0
Atlético-MG,América-MG,16,0
Atlético-MG,Atlético-GO,12,0
Atlético-MG,Atlético-PR,15,0
Atlético-MG,Avaí FC,9,0
Atlético-MG,Botafogo,11,0
Atlético-MG,CRB,12,0
Atlético-MG,Ceará SC,9,1800000
Atlético-MG,Corinthians,16,4240000
Atlético-MG,Coritiba FC,17,0
Atlético-MG,EC Bahia,16,2300000
Atlético-MG,EC Vitória,14,0
Atlético-MG,Figueirense FC,10,0
Atlético-MG,Fluminense,9,3870000
Atlético-MG,Fortaleza,15,2770000
Atlético-MG,Goiás,11,0
Atlético-MG,Grêmio,9,4200000
Atlético-MG,Juventude,10,0
Atlético-MG,Palmeiras,15,20000000
Atlético-MG,Ponte Preta,13,0
Atlético-MG,Santos,12,940000
Atlético-MG,Sport Recife,22,0
Atlético-MG,São Paulo,11,8700000
Atlético-MG,Tombense,11,0
Atlético-MG,Vasco da Gama,18,5550000
Atlético-MG B,Atlético-MG,51,0
Atlético-MG B,Coimbra,10,0
Atlético-PR,ABC FC,10,0
Atlético-PR,Atlético-GO,12,0
Atlético-PR,Atlético-MG,12,0
Atlético-PR,Ceará SC,10,0
Atlético-PR,EC Bahia,10,0
Atlético-PR,EC Vitória,12,0
Atlético-PR,Ferroviária,17,0
Atlético-PR,Figueirense FC,10,0
Atlético-PR,Flamengo,11,350000
Atlético-PR,Fortaleza,11,0
Atlético-PR,Goiás,10,0
Atlético-PR,Internacional,12,0
Atlético-PR,Joinville-SC,10,0
Atlético-PR,Náutico,15,0
Atlético-PR,Palmeiras,11,720000
Atlético-PR,Paraná,9,0
Atlético-PR,Ponte Preta,13,0
Atlético-PR,Sport Recife,12,0
Atlético-PR,São Paulo,15,3200000
Atlético-PR B,Atlético-PR,39,0
Atromitos,Ionikos Nikeas,10,0
Atromitos,Olympiacos,13,1100000
Auda,Riga,9,0
Audax-RJ,GO Audax,19,0
Augsburg Yth.,B. München Yth.,11,0
Austria Vienna,A. Vienna Res.,11,0
Austria Vienna,Admira Wacker,11,0
Austria Vienna,SV Stripfing,9,0
Austria Vienna,Sturm Graz,9,2000000
Avaí B,Avaí FC,20,0
Avaí FC,Atlético-GO,9,0
Avaí FC,Coritiba FC,15,0
Avaí FC,Cruzeiro,11,0
Avaí FC,Paraná,12,0
Avaí FC,Ponte Preta,9,185000
Avaí FC,Santos,10,0
Avaí FC,Tombense,42,0
Avellino,Atalanta BC,10,0
Avellino,Cavese,13,0
Avellino,Salernitana,14,0
Avispa Fukuoka,Kashiwa Reysol,9,0
Avtodor Vl.,Spartak V-kavkaz,9,0
Aydinspor,Altay SK,9,0
B. Leverkusen,1.FC Nuremberg,10,550000
B. Leverkusen,E. Frankfurt,14,17500000
B. Leverkusen,F. Düsseldorf,10,750000
B. Leverkusen,FC Augsburg,9,3900000
B. Petrol Yth,Batman Petrol,23,0
BB Ankaraspor,Keciörengücü,11,0
BC Branco,Santa Clara,10,0
BFC Siófok,Bicskei TC,9,0
BFC Siófok,ETO FC Győr ,10,0
BFC Siófok,Honvéd,16,0
BFC Siófok,MTK Budapest,15,0
BFC Siófok,Paksi FC,20,0
